"negodīgs","","нечестный"
"pacietīgs","","терпеливый"
"nepacietīgs","","нетерпеливый"
"kārtīgs","","аккуратный"
"nekārtīgs","","организованный / неорганизованный"
"jautrs","","весёлый"
"skumjš","","грустный"
"strādīgs","","трудолюбивый"
"slinks","","ленивый"
"dāsns","","щедрый"
"skops","","скупой"
"uzticams","","надёжный"
"neuzticams","","ненадёжный"
"pārliecināts","","уверенный"
"nepārliecināts","","неуверенный"
"mierīgs","","спокойный"
"nervozs","","нервный"
"sirsnīgs","","душевный"
"auksts","","холодный"
"atsaucīgs","","отзывчивый"
"vienaldzīgs","","равнодушный"
"ambiciozs","","амбициозный"
"egoistisks","","эгоистичный"
"humoristisks","","с чувством юмора"
"te","","здесь"
"tepat","","вот здесь"
"lūk","","смотри"
"savādāk","","по-другому"
"atsķirīgs no","","отличается от"
"tur","","там"
"šeit","","здесь"
"šur","","сюда"
"iekšā","","внутри"
"ārā","","снаружи"
"blakus","","рядом"
"augšā","","наверху"
"lejā","","внизу"
"priekšā","","впереди"
"aiz muguras","","позади"
"pa kreisi","","налево"
"pa labi","","направо"
"onkulis","","дядя"
"tante","","тётя"
"brālēns","","двоюродный брат"
"māsīca","","сестра"
"māte","","мать"
"tēvs","","отец"
"māsa","","сестра"
"brālis","","брат"
"bērns","","ребёнок"
"bērni","","дети"
"vecmāmiņa","","бабушка"
"vectētiņš","","дедушка"
"vīrs","","муж"
"sieva","","жена"
"paust","","выразить"
"saistība","","связь"
"saistīts ar","","связанный с"
"skatīt ; skatīties","","смотреть"
"pateikties","","поблагодарить"
"paust","","выразить"
"vaicāt","","спрашивать"
"sarunāties","","разговаривать"
"runāt","","говорить"
"teikt","","сказать"
"stāstīt","","рассказывать"
"skaidrot ; paskaidrot","","объяснять"
"ziņot","","сообщать"
"atbildēt","","отвечать"
"jautāt","","спрашивать"
"kliegt","","кричать"
"čukstēt","","шептать"
"ārlietas","","иностранные дела"
"ārpolitika","","внешняя политика"
"sabiedrība","","общество"
"valsts","","государство"
"valdība","","правительство"
"prezidents","","президент"
"vēlēšanas","","выборы"
"balsošana","","голосование"
"likums","","закон"
"noteikums","","правило"
"pilsonis","","гражданин"
"pilsonība","","гражданство"
"nu ; teiksim","","частицы"
"piemēram","","к примеру"
"ievilkt","","втягивать, вдыхать"
"iezīme","","черта"
"nozīme","","значение"
"miers","","мир, спокойствие"
"kopt","","ухаживать"
"kopa","","группа"
"kopā","","вместе"
"ļaut ; atļaut ; pieļaut","","позволять"
"spert","","пинать"
"sperties","","метнуться"
"izdalīt","","распространять"
"krūts","","грудь"
"mīlulis","","любимец"
"algot","","нанимать"
"pirkt","","покупать"
"vaļā","","открыто, свободно"
